연번,업체코드,분야,업체명,소재지,대표자,선정년도,23년배정인원,관할청
42,220160144,중견기업부설연구소,이지스(주) 기술연구소,충청북도 음성군 맹동면 덕금 로87번길 11-19 사무동 2층,"한효식, 손경호",2016,미신청,충북
43,220050142,중견기업부설연구소,이엔에프테크놀로지울산연구소,"울산광역시 남구 상개로 66 2~3층 (상개동, 한국알콜산업 내 A-10동)","지용석, 김정수",2005,1,부산
44,220000493,중견기업부설연구소,유진로봇지능로봇연구소,인천광역시 연수구 하모니로 187번길 33 3층(송도동),박성주,2000,미신청,인천
45,220130237,중견기업부설연구소,유영제약 제제연구소,"서울특별시 구로구 디지털로 31길 38 - 21 (구로동,이앤씨벤 처드림타워 3차 1301호)",유우평,2013,1,서울
46,220160258,중견기업부설연구소,오스템카디오텍(주) 스텐트연구소,서울특별시 강서구 마곡중앙 12로 3 A동 2층 스텐트연구소 (마곡동),엄태관,2016,1,서울
47,220140325,중견기업부설연구소,오스템임플란트(주)부설임플란트 연구소,"서울특별시 강서구 마곡중앙 12로 3 연구동 5층,7층, 8층(마 곡동)",엄태관,2014,2,서울
48,219820015,중견기업부설연구소,엘아이지넥스원판교R&D센터,경기도 성남시 분당구 판교로 333 테크노밸리,김지찬,1982,2,경인
49,220220309,중견기업부설연구소,엘아이지넥스원(주)연구소,경기도 용인시 기흥구 마북로 207(마북동),김지찬,2022,2,경인
50,220220353,중견기업부설연구소,엘아이지넥스원(주)대전연구소,대전광역시 유성구 죽동로 181 LIG넥스원,김지찬,2022,2,대전.충남
51,220200383,중견기업부설연구소,엘아이지넥스원(주) 생산기술연구 소,경상북도 구미시 산호대로 354-25(공단동),김지찬,2020,1,대구.경북
52,220140176,중견기업부설연구소,엔에이치엔(주) 기술연구소,경기도 성남시 분당구 대왕판 교로645번길 16 N-Square 플레 이뮤지엄 5층,정우진,2014,미신청,경인
53,219970163,중견기업부설연구소,엔씨소프트부설연구소,"경기도 성남시 분당구 대왕판 교로644번길 12 판교R&D센터 지하2층, 지하4층, 2층~11층",김택진,1997,2,경인
54,220200446,중견기업부설연구소,에이에스엠케이(주) R&D Center,"경기도 화성시 동탄첨단산업1 로 63-11 ASM 4층, 5층  (영천 동)",김용길,2020,미신청,경인
55,220200367,중견기업부설연구소,에스에프씨(주)R&D Center,충청북도 청주시 청원구 오창 읍 과학산업5로 89 2층,김용관,2020,1,충북
56,220110044,중견기업부설연구소,어보브반도체(주)서울연구소,"서울특별시 강남구 영동대로 330, 6층 7층 9층 (대치동)",최원,2011,1,서울
