연번,업체코드,분야,업체명,소재지,대표자,선정년도,23년배정인원,관할청
542,220200467,중소벤처부설연구소,에이엠텔레콤(주)부설정보통신연 구소,"경기도 성남시 분당구 장미로 42 601~607호 (야탑동, 리더스 빌딩)",여민기,2020,미신청,경인
543,220220279,중소벤처부설연구소,에이엠스퀘어(주) 기업부설연구소,경상북도 포항시 남구 청암로 87 체인지업그라운드 634호 (지곡동),황형주,2022,총괄배정,대구.경북
544,220200037,중소벤처부설연구소,에이아이시스템즈(주) 비파괴검사 연구소,경기도 의왕시 한밭들2길 14 2 층 (고천동),김진영,2020,미신청,경인
545,220170004,중소벤처부설연구소,에이아이메딕(주) 기업부설연구소,서울특별시 강남구 봉은사로 437 소암빌딩 2층(삼성동),심은보,2017,총괄배정,서울
546,220110179,중소벤처부설연구소,에이비온주식회사 R&DCenter,"서울특별시 구로구 디지털로 242, 9층 915호 에이비온(구로 동, 한화비즈메트로1차)",신영기,2011,총괄배정,서울
547,220220234,중소벤처부설연구소,에이로봇 기업부설연구소,경기도 안산시 상록구 한양대 학로 55 창업보육센터 406호,엄윤설,2022,총괄배정,인천
548,220010121,중소벤처부설연구소,에이디티중앙연구소,"경기도 안양시 동안구 벌말로 56 (에이디티 ,관양동) 지하1 층, 2층",최경수,2001,미신청,경인
549,220000417,중소벤처부설연구소,에어코드부설DTV연구소,"서울특별시 금천구 가산디지 털2로 123, 1317호 (가산동, 월 드메르디앙2차)","정진우, 정연철",2000,총괄배정,서울
550,220190278,중소벤처부설연구소,에스큐엔지니어링(주)부설 기술연 구,"서울특별시 송파구 중대로 216, 동진빌딩 7층(가락동)",이래철,2019,미신청,서울
551,220220108,중소벤처부설연구소,에스지메디칼(주) 생명과학연구소,서울특별시 송파구 오금로13 길 3-11 한길빌딩 5층 (방이동),오세문,2022,총괄배정,서울
552,220200480,중소벤처부설연구소,에스제이엠프리웰(주) 기술연구소,"경기도 안양시 동안구 학의로 268 406호 (관양동, 메가밸리)",김휘중,2020,총괄배정,경인
553,220210220,중소벤처부설연구소,에스엠에스(주) 기업부설연구소,경기도 평택시 청북읍 드림산 단로 222,이길성,2021,미신청,경인
554,220200093,중소벤처부설연구소,에스아이에스(주)메카트로닉스 연 구소,"울산광역시 울주군 언양읍 반 천산업로 108-105 연구동 1,2 층",신인승,2020,총괄배정,부산
555,220170359,중소벤처부설연구소,에스비엔지니어링(주) 기술연구소,"경기도 성남시 수정구 복정로 5, nSB빌딩 4층(복정동)",원용석,2017,총괄배정,경인
556,220200008,중소벤처부설연구소,에브리봇(주) 기업부설연구소,경기도 성남시 분당구 운중로 243번길 4-7 에브리봇 빌딩 B1,정우철,2020,미신청,경인
557,220210147,중소벤처부설연구소,에디슨모터스(주) 기술연구소,경상남도 함양군 수동면 산업 단지길 148 에디슨모터스 주 식회사 2층,강영권,2021,총괄배정,경남
558,220180067,중소벤처부설연구소,에너진(주) 부설연구소,"경기도 화성시 마도면 청원산 단2길 120 사무동 2층, 공장2 동 1층",장진숙,2018,총괄배정,경인
559,220190207,중소벤처부설연구소,앱티스(주) 중앙연구소,경기도 수원시 권선구 산업로 156번길 142-10 수원벤처밸리 2 A동 813~814호(고색동),정상전,2019,총괄배정,경인
560,220220103,중소벤처부설연구소,앱클론(주) 바이오신약연구소,"서울특별시 구로구 디지털로 285, 1403호 ,1403-1호 ,1403-2 호 (구로동, 에이스트윈타워1 차)",이종서,2022,총괄배정,서울
561,220130080,중소벤처부설연구소,앤비젼솔루션R&D센터,"서울특별시 금천구 가산디지 털2로 98, 1동 610호(가산동,IT 캐슬 )",김덕표,2013,총괄배정,서울
562,220200459,중소벤처부설연구소,애니포인트미디어(주) Ad-Tech Research Center,"서울특별시 강남구 테헤란로 87길 21, 6층(삼성동, 동성빌 딩)",백원장,2020,총괄배정,서울
563,220210322,중소벤처부설연구소,애니모션텍(주)기술연구소,인천광역시 남동구 남동서로 37,신동혁,2021,총괄배정,인천
564,220190116,중소벤처부설연구소,애니메디솔루션(주) 기술연구소,"서울특별시 송파구 올림픽로 35길 137  12층 4호 (신천동, 한 국광고문화회관)",김국배,2019,미신청,서울
565,220210256,중소벤처부설연구소,애니메디솔루션(주) 기술연구소,"경기도 하남시 하남대로 947, U1테크노밸리 B동 1504호(풍 산동)",김국배,2021,미신청,경인
566,220190222,중견기업부설연구소,(주)한글과컴퓨터 부설연구소,"경기도 성남시 분당구 대왕판 교로644번길 49 7층(삼평동, 한컴타워)","김연수, 변성준",2019,배정제한,경인
567,220200051,중소벤처부설연구소,알폰스테크부설기술연구소,"경기도 성남시 중원구 사기막 골로 52 605호 (상대원동, 선택 시티2)",김성수,2020,미신청,경인
568,220120049,중소벤처부설연구소,알테오젠 기업부설연구소,대전광역시 유성구 유성대로 1628번길 62,박순재,2012,총괄배정,대전.충남
569,220220323,중소벤처부설연구소,알지노믹스(주)기업부설연구소,경기도 성남시 분당구 판교로 253 판교이노밸리 C동 803호 (삼평동),이성욱,2022,총괄배정,경인
570,220220248,중소벤처부설연구소,알엔에이진(주) 기업부설연구소,서울특별시 송파구 법원로6길 7 605호 (문정동),이우길,2022,총괄배정,서울
571,220180297,중소벤처부설연구소,알에프코어(주)연구소,"경기도 성남시 분당구 판교로 744, 분당테크노파크 C동 708 호 (야탑동)",전계익,2018,총괄배정,경인
572,220210212,중소벤처부설연구소,알에프에이치아이씨(주) 부설연구 소,"경기도 안양시 동안구 부림로 170번길 41-14, RFHIC빌딩 7층, 8층",조덕수,2021,총괄배정,경인
573,220210321,중소벤처부설연구소,알에프머트리얼즈(주) 기업부설연 구소,"경기도 안산시 단원구 강촌로 213, 연구동 1,2층",남동우,2021,미신청,인천
574,220210086,중소벤처부설연구소,알에스오토메이션(주) R&D Center,"경기도 평택시 진위면 진위산 단로 38, 4층",강덕현,2021,미신청,경인
575,220220181,중소벤처부설연구소,알서포트(주)R&D Center,"서울특별시 송파구 위례성대 로 10 9층,10층 (방이동, 에스 타워)",서형수,2022,총괄배정,서울
576,220220202,중소벤처부설연구소,알고케어(주) 기업부설연구소,서울특별시 서초구 성촌길 서 울특별시 서초구 성촌길 33 삼 성전자 서울R&D캠퍼스 C동 702호 (우면동),정지원,2022,총괄배정,서울
577,220210043,중소벤처부설연구소,안전성평가솔루션(주) 기술연구소,서울특별시 서초구 신반포로 311 신영빌딩 3층 (잠원동),신희준,2021,미신청,서울
578,220220114,중소벤처부설연구소,아토머스(주) 심리연구소,서울특별시 강남구 영동대로 96길 20 4층 (삼성동),김규태,2022,총괄배정,서울
579,220210013,중소벤처부설연구소,아토리서치(주) 기술연구소,"서울특별시 서초구 강남대로 275, 강남메인타워 9층 (서초 동)",정재웅,2021,총괄배정,서울
580,220080212,중소벤처부설연구소,아이티엠코퍼레이션부설 기술연구 소,"서울특별시 강남구 선릉로 747 - 0 (삼성당빌딩 8층,논현 동)",임재춘,2008,총괄배정,서울
581,220070015,중견기업부설연구소,Tmax R&D Center(주)티맥스소프트 연구소,"경기도 성남시 분당구 정자일 로 45 티맥스타워 2층일부, 3,14,15층",이형배,2007,배정제한,경인
582,220020145,중소벤처부설연구소,아이진부설연구소,경기도 고양시 덕양구 의장로 122-1 삼일빌딩 3~5층(도내동),유원일,2002,총괄배정,경기북부
583,220130185,중소벤처부설연구소,아이오시스부설연구소,"서울특별시 성동구 성수이로7 길 27 - 0 (성수동2가,서울숲 코 오롱 디지털타워2차 8층 807 호)",최선호,2013,총괄배정,서울
584,220210323,중소벤처부설연구소,아이에스테크놀로지(주)부설센서 시스템연구소,"인천광역시 연수구 송도과학 로 32 M동 1602호 (송도동, 송 도테크노파크IT센터)",유갑상,2021,미신청,인천
585,220170294,중소벤처부설연구소,아이씨엠(주)기업부설연구소,"서울특별시 서대문구 연세로 50 102동 457호~467호, 446호",김대원,2017,총괄배정,서울
586,220210288,중소벤처부설연구소,아이쓰리시스템(주) 기술연구소_장 동,대전광역시 유성구 가정북로 26-32(장동),정한,2021,총괄배정,대전.충남
587,220170126,중소벤처부설연구소,아이쓰리시스템(주) 기술연구소_문 지,대전광역시 유성구 엑스포로 435,정한,2017,총괄배정,대전.충남
588,220200209,중소벤처부설연구소,아이빔테크놀로지(주) 기업부설연 구소,"대전광역시 유성구 테크노4로 17(대덕비즈센터) B413호, B414호",김필한,2020,미신청,대전.충남
589,220190098,중소벤처부설연구소,아이브스(주) 부설연구소,"서울특별시 성동구 광나루로6 길 35, 우림이비즈센터 807 호,808호,809호(성수동2가)",배영훈,2019,총괄배정,서울
590,220140210,중소벤처부설연구소,아이넷캅스마트플랫폼보안연구소,"서울특별시 송파구 송파대로 201 A동 1311호(문정동,송파 테라타워2)",유동훈,2014,총괄배정,서울
591,220210057,중소벤처부설연구소,아우토크립트(주) 모빌리티연구소,"서울특별시 영등포구 여의공 원로 115, 세우빌딩 6층 (여의 도동)",김의석,2021,총괄배정,서울
592,220190210,중소벤처부설연구소,아밀로이드솔루션(주) 기업부설연 구소,"경기도 성남시 분당구 판교로 255번길 58, 씨즈타워 601호",장진태,2019,총괄배정,경인
593,220180372,중소벤처부설연구소,아람바이오텍 연구소,"서울특별시 성동구 아차산로 103 2101-2호 (성수동2가, 영 동테크노타워)",황현진,2018,미신청,서울
594,220050015,중소벤처부설연구소,아나패스기술연구소,"서울특별시 구로구 디지털로 31길 61 - 0, 6층 (드림마크원, 구로동)",이경호,2005,총괄배정,서울
595,220200056,중소벤처부설연구소,씨엔비스(주) 연구소,경기도 의왕시 이미로 40 인덕 원IT밸리 D동 906-2호,백재원,2020,미신청,경인
596,220200213,중소벤처부설연구소,씨에스아이엠(주) 신소재연구소,대전광역시 유성구 테크노2로 80-28 2동 2층 (관평동),류현정,2020,총괄배정,대전.충남
597,220220262,중소벤처부설연구소,씨스존(주) 연구소,서울특별시 송파구 중대로25 길 3-16 2층 (오금동),정찬원,2022,총괄배정,서울
598,220160113,중소벤처부설연구소,씨비에스바이오사이언스(주)기업 부설,"대전광역시 유성구 테크노11 로 24, 3층(탑립동)",박진영,2016,미신청,대전.충남
599,200200040,중소벤처부설연구소,쎄트렉아이우주기술연구소,대전광역시 유성구 유성대로 1628번길 21(전민동),김이을,2000,총괄배정,대전.충남
600,220080142,중소벤처부설연구소,쎄딕 기술연구소,서울특별시 금천구 가산디지 털1로 145 에이스하이엔드타 워3차 1202호,조장형,2008,미신청,서울
601,220140070,중소벤처부설연구소,심네트 M&S기술연구소,대전광역시 유성구 죽동로 157(죽동),차진섭,2014,미신청,대전.충남
602,220080180,중소벤처부설연구소,실리콘디스플레이기흥연구소,"경기도 용인시 기흥구 탑실로 58번길 8 - 0 3층(실리콘디스플 레이 ,공세동)",장진,2008,총괄배정,경인
603,220050135,중소벤처부설연구소,신일제약생명과학연구소,경기도 성남시 중원구 사기막 골로 148 중앙이노테크10F 1003~1009호,홍재현,2005,미신청,경인
604,220200481,중소벤처부설연구소,신룡 기업부설연구소,경기도 화성시 동탄첨단산업1 로 27 A동 1611호,유광룡,2020,미신청,경인
605,220220166,중소벤처부설연구소,시큐어레터(주) 연구소,"서울특별시 강남구 역삼로 223 2층(역삼동, 대사빌딩)",김대원,2022,총괄배정,서울
606,220140043,중소벤처부설연구소,시큐센보안기술연구소,"서울특별시 영등포구 가마산 로 343, 콤텍빌딩(대림동)",박원규,2014,미신청,서울
607,220130260,중소벤처부설연구소,시온텍 기술연구소,대전광역시 유성구 테크노2로 167-2,강경석,2013,미신청,대전.충남
608,220220065,중소벤처부설연구소,시냅스이미징(주)기술연구소,"경기도 군포시 고산로 166, 102동 501~503호(당정동,SK벤 티움아파트)",김재선,2022,총괄배정,경인
609,220130282,중소벤처부설연구소,스피덴트 기술연구소,"인천광역시 남동구 남동동로 84, 303호","김재환,안제모",2013,총괄배정,인천
610,220210270,중소벤처부설연구소,스페클립스(주) 기업부설연구소,"경기도 성남시 분당구 운중로 141, 경창빌딩 4층(운중동)",변성현,2021,총괄배정,경인
611,220200194,중소벤처부설연구소,스탠다드에너지(주) 기업부설연구 소,대전광역시 유성구 테크노6로 36(관평동)  공장동 2층,김부기,2020,미신청,대전.충남
612,220200168,중소벤처부설연구소,스마트에코(주) 환경전략연구소,"서울특별시 강남구 개포로 630 (일원동, 공익빌딩2층)",김익,2020,총괄배정,서울
613,220160006,중소벤처부설연구소,슈어소프트테크(주)소프트웨어시 험자동화연구소,서울특별시 강남구 테헤란로 86길 13 대경타워(대치동) 6층 7층,배현섭,2016,총괄배정,서울
614,220200260,중소벤처부설연구소,슈어소프트테크(주) 임베디드기술 연구소,서울특별시 강남구 테헤란로 86길 13 대경타워 8층  (대치 동),배현섭,2020,총괄배정,서울
615,220200411,중소벤처부설연구소,수퍼빈(주)robotics lab(연구소),"경기도 성남시 분당구 황새울 로 216, 휴맥스빌리지 502-2호 (수내동)",김정빈,2020,미신청,경인
616,220220129,중소벤처부설연구소,수퍼게이트(주) 기업부설연구소,서울특별시 강남구 언주로85 길  7 서원빌딩 3층 (역삼동),심승필,2022,총괄배정,서울
617,220200460,중소벤처부설연구소,송과모터스(주) 기업부설연구소,경기도 용인시 기흥구 공세로 60 현우빌딩 2층  (고매동),신용복,2020,미신청,경인
618,220220167,중소벤처부설연구소,솔티드(주) 기업부설연구소,서울특별시 강남구 언주로 603 6층 (논현동),조형진,2022,총괄배정,서울
619,220200449,중소벤처부설연구소,소프트캠프(주)정보보안기술연구 소,"경기도 성남시 분당구 성남대 로 779번길 6, KT분당빌딩 4층",배환국,2020,총괄배정,경인
620,220220089,중소벤처부설연구소,소바젠(주) 기업부설연구소,"대전광역시 유성구 문지로 193 카이스트문지캠퍼스 부속 2동 2층, 진리관 T-142-1~144, T133호",김병태,2022,총괄배정,대전.충남
621,220170326,중소벤처부설연구소,소나테크(주)기술연구소,부산광역시 남구 황령대로353 번길 9-37 3층 (대연동),박승수,2017,총괄배정,부산
622,220150071,중소벤처부설연구소,셈웨어기술연구소,"서울특별시 관악구 관악로 1, 서울대학교 133동 104호",김광진,2015,총괄배정,서울
623,220200268,중소벤처부설연구소,셀렉트스타(주) 기업부설연구소,"서울특별시 강남구 테헤란로 20길 20 (역삼동, 삼정빌딩) 8 층 / 11층","신호욱,김세엽",2020,미신청,서울
624,220200259,중소벤처부설연구소,센서텍(주)초음파센서연구소,서울특별시 강서구 마곡중앙 10로 80 4층-6층 (마곡동),엄종학,2020,미신청,서울
625,220190297,중소벤처부설연구소,세이지리서치 연구소,"서울특별시 서초구 서초대로 40길 49, 라이프재단빌딩 5층 (서초동)",박종우,2019,총괄배정,서울
626,220220360,중소벤처부설연구소,성한 주식회사 공기조화기술연구 소,대전광역시 유성구 대학로76 번길 71 3층,윤홍익,2022,총괄배정,대전.충남
627,220200373,중소벤처부설연구소,성원메디칼(주) 기업부설연구소,"충청북도 청주시 흥덕구 강내 면 태성탑연로 199, 2층",이대희,2020,미신청,충북
628,220170036,중소벤처부설연구소,성신전기공업(주)부설연구소,경기도 수원시 권선구 산업로 155번길 228-69(고색동),이기현,2017,총괄배정,경인
629,220200183,중소벤처부설연구소,선진뷰티사이언스(주) 부설연구소,"서울특별시 금천구 가산디지 털2로 43-14, 8층(가산동, 가산 한화비즈메트로 2차)",이성호,2020,총괄배정,서울
630,220190102,중소벤처부설연구소,선광엘티아이(주) EN기업부설연구 소,서울특별시 관악구 남부순환 로 1702 송산빌딩 2층 일부,김동진,2019,총괄배정,서울
631,220210229,중소벤처부설연구소,서호전기(주) 기술연구소,"경기도 안양시 동안구 귀인로 9, 공장동 5층(호계동)",김승남,2021,미신청,경인
632,219920091,중소벤처부설연구소,서호드라이브(주)기업부설연구소,경기도 안양시 동안구 귀인로 13 일부(호계동),이진우,2020,미신청,경인
633,220010457,중소벤처부설연구소,서울제약중앙연구소,"경기도 안양시 동안구 시민대 로 401 6층 605호,606호 (관양 동,대륭테크노타운 15차)","윤동현, 신봉환",2001,총괄배정,경인
634,220200085,중소벤처부설연구소,상림이엔지(주)부설연구소,경기도 남양주시 와부읍 덕소 로 222호 (벽산메가트리움),박태준,2020,미신청,경기북부
635,220200009,중소벤처부설연구소,삼진엘앤디 융합기술연구소,"경기도 성남시 분당구 황새울 로 315, 505호",이경재,2020,총괄배정,경인
636,220200325,중소벤처부설연구소,삼정데이타서비스(주)부설 데이터 디자인 랩 R&D 센터,"서울특별시 구로구 디지털로 306 416,417호 (구로동, 대륭 포스트타워2차)",오충용,2020,미신청,서울
637,220200182,중소벤처부설연구소,삼익제약(주)중앙연구소,인천광역시 부평구 청안로 13 3층,"이충환, 권영이",2020,총괄배정,인천
638,220210115,중소벤처부설연구소,삼익정공(주)기술연구소,대구광역시 달서구 성서공단 남로32길 39(월암동),진문영,2021,미신청,대구.경북
639,220220336,중소벤처부설연구소,삼원FA(주)부설 기술연구소,부산광역시 해운대구 반송로 513번길 66-25,홍원표,2022,총괄배정,부산
640,220220356,중소벤처부설연구소,삼영기계(주)부설 삼영기술연구소,충청남도 공주시 우성면 월미 농공단지길 39 사무동 2층,한금태,2022,총괄배정,대전.충남
641,220220277,중소벤처부설연구소,삼아항업(주) 기업부설연구소,"경기도 고양시 일산동구 일산 로 142 1019호(백석동, 유니테 크벤처타운)",강형기,2022,총괄배정,경기북부
642,219960054,중소벤처부설연구소,삼아제약중앙연구소,경기도 수원시 영통구 신원로 88(신동) 디지털엠파이어 2차 101동 601~605호,허준,1996,총괄배정,경인
643,220200210,중소벤처부설연구소,빌드켐(주) 기술연구소,충청남도 공주시 우성면 보흥 1길 116-36,하상욱,2020,미신청,대전.충남
644,220210250,중소벤처부설연구소,비티에스테크놀로지스(주)기술연 구소,"경기도 용인시 기흥구 흥덕1 로 13, 타워동 708호(영덕동, 흥덕아이티밸리)",유재준,2021,총괄배정,경인
645,219910046,중소벤처부설연구소,비트컴퓨터기술연구소,서울특별시 서초구 서초대로 74길 33 비트빌 6층,"조현정,전진옥",1991,총괄배정,서울
646,220200291,중소벤처부설연구소,비트루브(주) 기업부설연구소,"서울특별시 강남구 역삼로 175 지하1층, 현승빌딩  (역삼 동)",오태형,2020,총괄배정,서울
647,220130182,중소벤처부설연구소,비츠로시스연구소,"서울특별시 구로구 디지털로 31길 20, 8층 802호 (구로동)",이기재,2013,미신청,서울
648,220210047,중소벤처부설연구소,비즈(주) 부설연구소,대전광역시 유성구 가정북로 96 대전경제통상진흥원 301-2 호,박윤원,2021,총괄배정,대전.충남
649,220200102,중소벤처부설연구소,블루카이트(주) ICT융합재난안전연 구소,경기도 성남시 분당구 대왕판 교로 670 A동 406호,이광우,2020,총괄배정,경인
650,220160222,중소벤처부설연구소,블루센(주) 기업부설연구소,대구광역시 달성군 구지면 국 가산단대로34길 30,손창식,2016,총괄배정,대구.경북
651,220220140,중소벤처부설연구소,블루닷(주) 기업부설연구소,서울특별시 강남구 언주로 527 강남텔레피아빌딩 4층 (역 삼동),전민용,2022,총괄배정,서울
652,220220135,중소벤처부설연구소,브이젠(주) 기술연구소,서울특별시 강남구 역삼로 168 명우빌딩 2층 (역삼동),백승엽,2022,총괄배정,서울
653,219960053,중소벤처부설연구소,브레인즈컴퍼니(주)기술연구소,"서울특별시 성동구 성수이로 87, 5층,6층(성수동2가, 성문빌 딩)",강선근,1996,총괄배정,서울
654,220220217,중소벤처부설연구소,부전전자(주) 기술연구소,"경기도 안산시 상록구 선진로 43  3층, 4층(사동)",이석순,2022,총괄배정,인천
655,220210010,중소벤처부설연구소,본제이워터스(주) 기업부설연구소,"충청북도 보은군 삼승면 남부 로 3750-33, 본제이워터스(주) 연구동 1층,2층 및 생산동",오류영,2021,미신청,충북
656,220180394,중소벤처부설연구소,보로노이바이오(주) 신약개발연구 소,"인천광역시 연수구 송도과학 로 32, 송도테크노파크IT센터 S동 11층",김남두,2018,총괄배정,인천
657,220190020,중소벤처부설연구소,보로노이(주)신약개발연구소,"인천광역시 연수구 송도과학 로 32 IT센터 S동 12, 18층","김현태, 김대권",2019,총괄배정,인천
658,220210145,중소벤처부설연구소,범한퓨얼셀(주) 중앙기술연구소,"경상남도 창원시 마산회원구 자유무역4길 61 1층, 2층 중앙 기술연구소(봉암동)",정영식,2021,미신청,경남
659,220210138,중소벤처부설연구소,범한산업(주) 범한기술원,"서울특별시 강서구 마곡중앙8 로 68, 범한기술원 (마곡동) 2 층, 6층, 7층, 지하1층, 생산동 1~2층",김은식,2021,미신청,서울
660,220110187,중소벤처부설연구소,버즈니연구소,"서울특별시 관악구 남부순환 로 1832 14층(봉천동,오션빌 딩)","남상협, JIN CHENGGUO",2011,총괄배정,서울
661,220200280,중소벤처부설연구소,뱅크웨어글로벌(주) 소프트웨어연 구소,"서울특별시 중구 통일로 86, 314호~319호, 1116호~1119호 (순화동, 바비엥빌딩3차)","이경조,이은중",2020,미신청,서울
662,220210193,중소벤처부설연구소,반석안전(주) 기술연구소,서울특별시 성동구 성수이로 22길 37 아크밸리 10층1001호 (성수동2가),오호진,2021,총괄배정,서울
663,220200154,중소벤처부설연구소,바즈바이오메딕(주) 연구소,서울특별시 관악구 관악로 1 서울대학교 연구공원본관(940 동)115-119호,여재익,2020,미신청,서울
664,220200224,중소벤처부설연구소,바이텍(주) 기업부설연구소,전라북도 익산시 왕궁면 국가 식품로 174,이도행,2020,미신청,전북
665,220200267,중소벤처부설연구소,바이젠셀(주) 부설연구소,"서울특별시 서초구 반포대로 222 옴니버스파크 B동 5F,6F",김태규,2020,총괄배정,서울
666,220200488,중소벤처부설연구소,바이오플러스(주) 부설연구소,서울특별시 송파구 정의로8길 9 AJ빌딩 7층(문정동),정현규,2020,미신청,서울
667,220020061,중소벤처부설연구소,바이오톡스텍부설연구소,"충청북도 청주시 청원구 오창 읍 연구단지로 A동 1층, B동 2 층",강종구,2002,총괄배정,충북
668,220160013,중소벤처부설연구소,바이오센서연구소(주) 기업부설연 구소,서울특별시 관악구 관악로 1 서울대학교자연과학대학105 동205호,장명훈,2016,총괄배정,서울
669,220200302,중소벤처부설연구소,바이오메디쿠스(주) 부설연구소,"서울특별시 금천구 가산디지 털1로  212 8층 805호(가산동, 코오롱디지털타워애스턴)  (가 산동)",김민환,2020,총괄배정,서울
670,220010285,중소벤처부설연구소,바이오니아진단연구소,대전광역시 대덕구 문평서로 8-11(문평로),박한오,2001,총괄배정,대전.충남
671,220190087,중소벤처부설연구소,바이로큐어(주) 기업부설연구소,"서울특별시 구로구 디지털로 285, 에이스트윈타워1차 501 호, 504호(구로동)","유행준, 한상경",2019,미신청,서울
672,219980071,중소벤처부설연구소,바우컨설탄트기술연구소,"서울특별시 강남구 논현로 626, 4층(논현동, 엠빌딩)","김용년, 김종오",1998,총괄배정,서울
673,220130313,중소벤처부설연구소,바디텍메드중앙연구소,"강원도 춘천시 동내면 거두단 지1길 강원도 춘천시 동내면 거두단지1길43 바디텍메드 (주) A동 1층, B동 2층",최의열,2013,총괄배정,강원
674,220200359,중소벤처부설연구소,미라셀(주) 줄기세포바이오연구소,서울특별시 강남구 언주로 413 (역삼동) 태현빌딩 6층,신현순,2020,미신청,서울
675,220170056,중소벤처부설연구소,미디어젠(주)부설연구소,"서울특별시 강서구 마곡중앙 12로  31, 2~6층",고훈,2017,총괄배정,서울
676,220210048,중소벤처부설연구소,미디어젠(주) NAMZ R&D Center,"서울특별시 성북구 동소문로 57, 3층 (동소문동4가)",고훈,2021,총괄배정,서울
677,220220176,중소벤처부설연구소,무브(주) Sindbad AI 연구소,서울특별시 영등포구 국제금 융로 10 Three IFC 43층 (여의 도동),이광복,2022,총괄배정,서울
678,220220073,중소벤처부설연구소,몬드리안에이아이(주) 기업부설연 구소,인천광역시 연수구 컨벤시아 대로  204  532호 (송도동),홍대의,2022,총괄배정,인천
679,220040234,중소벤처부설연구소,모비젠R&D센터,"서울특별시 송파구 법원로 128,씨동 1618-1621호(문정동, 문정에스케이브이원지엘메트 로시티)(문정동)",김태수,2004,총괄배정,서울
680,220180139,중소벤처부설연구소,모본(주)통신연구소,"서울특별시 강남구 선릉로94 길 7 덕우빌딩 6층(삼성동, 덕 우빌딩)",송상희,2018,총괄배정,서울
681,220190328,중소벤처부설연구소,모니텍(주)부설연구소,"부산광역시 사상구 새벽시장 로 92, 1층 2층(감전동)",황동수,2019,총괄배정,부산
682,220200332,중소벤처부설연구소,모니터코퍼레이션(주) 기업부설연 구소,"서울특별시 서초구 강남대로 311 9층, 드림플러스 903호 (서초동)",이경준,2020,미신청,서울
683,220220223,중소벤처부설연구소,모나(주) 기업부설연구소,"경기도 광명시 일직로 32 에스 1404호(송도동, 송도테크노파 크IT센터) (송도동)",장익황,2022,총괄배정,인천
684,220150196,중소벤처부설연구소,메타빌드(주)부설기술연구소,"서울특별시 서초구 효령로 208(서초동, 메타빌드) 2층 3 층 5층",조풍연,2015,총괄배정,서울
685,220130129,중소벤처부설연구소,메카트로부설기술연구소,"서울특별시 금천구 가산디지 털2로 169 - 28 (가산동,메카트 로본사 3층)",김희동,2013,미신청,서울
686,220210198,중소벤처부설연구소,메를로랩(주) 기업부설연구소,서울특별시 금천구 디지털로9 길 68 20층 2002-2005호 대륭 포스트타워 5차,신소봉,2021,총괄배정,서울
687,220210177,중소벤처부설연구소,메디컬아이피(주) 기업부설연구소,"서울특별시 종로구 종로33길 15 9층 (연지동, 연강빌딩)",박상준,2021,총괄배정,서울
688,220200347,중소벤처부설연구소,메디사피엔스(주) 기업부설연구소,"서울특별시 송파구 법원로11 길 11, B동 10층 10호 (문정동, 문정현대지식산업센터1-1)",강상구,2020,총괄배정,서울
689,220000197,중소벤처부설연구소,마크애니부설연구소,"서울특별시 중구 퇴계로 286 7 층(쌍림동, 쌍림빌딩)","최종욱, 최고",2000,총괄배정,서울
690,220090063,중소벤처부설연구소,마크로케어 부설연구소,충청북도 청주시 청원구 오창 읍 각리1길 32 - 0,이상린,2009,미신청,충북
691,220170046,중소벤처부설연구소,마인즈랩 인공지능 연구소,"경기도 성남시 분당구 대왕판 교로644번길 49 다산타워 501 호일부, 601호일부",유태준,2017,총괄배정,경인
692,220220138,중소벤처부설연구소,마인드로직(주) 기업부설연구소,"서울특별시 중구 삼일대로 343 7층 101호 (저동1가, 대신 파이낸스센터)","김진욱,김용우",2022,총괄배정,서울
693,220190315,중소벤처부설연구소,마이크로인스펙션(주)부설 측정기 술,"서울특별시 금천구 서부샛길 638, 대륭테크노타운7차 201- 1, 201-2, 201-3, 301-2(가산동)",은탁,2019,총괄배정,서울
694,200200211,중소벤처부설연구소,마이다스아이티기술연구소,"경기도 성남시 분당구 판교로 228번길 17  마이다스아이티 동 7층(삼평동, 판교세븐벤처 밸리2)","정승식, 고영현",2001,총괄배정,경인
695,220200236,중소벤처부설연구소,마린웍스 기업부설연구소,부산광역시 동구 고관로 62 5 층,김용대,2020,총괄배정,부산
696,220200339,중소벤처부설연구소,링크플로우(주) 기업부설연구소,서울특별시 강남구 논현로2길 인바디 빌딩 4층 (개포동),김용국,2020,미신청,서울
697,220090155,중소벤처부설연구소,리얼타임테크부설 정보기술연구소,"대전광역시 유성구 배울1로 283  (탑립동,2층)",진성일,2009,총괄배정,대전.충남
698,220110188,중소벤처부설연구소,리얼타임비쥬얼(주)기술연구소,"서울특별시 마포구 월드컵북 로 396 - 0 (상암동,누리꿈스퀘 어 알앤디타워 802호)",이상민,2011,총괄배정,서울
699,220130164,중소벤처부설연구소,리얼게인기술연구소,"서울특별시 성동구 성수이로 10길 14, 에이스하이엔드성수 타워 1103호(성수동2가)",박대영,2013,총괄배정,서울
700,220210235,중소벤처부설연구소,리벨리온(주) 기업부설연구소,"경기도 성남시 분당구 정자일 로 239, 102동 801호~807호 905호, 908호(정자동, 아이파 크분당1)",박성현,2021,총괄배정,경인
